,Wavelength,Flux
0,5794.517944850348,0.9998211655904693
1,5794.554160700678,0.9964750192187618
2,5794.590376777356,0.9976922781628698
3,5794.6265930803875,0.9948658599928523
4,5794.66280960977,0.9941376326621301
5,5794.699026365507,0.9943517383114313
6,5794.7352433476,0.994686720080584
7,5794.7714605560495,0.9950731375111029
8,5794.807677990856,0.9930027319453629
9,5794.843895652024,0.9939878947696308
10,5794.880113539552,0.9944791243799656
11,5794.916331653443,0.9931898086811052
12,5794.952549993698,0.9929287292522919
13,5794.988768560318,0.9929660711819367
14,5795.024987353305,0.9960831861310292
15,5795.06120637266,0.9943100371706157
16,5795.0974256183845,0.9945710933263346
17,5795.13364509048,0.9941309555018623
18,5795.169864788948,0.9934252907287825
19,5795.20608471379,0.9925833733708113
20,5795.242304865007,0.9952429264523605
21,5795.278525242601,0.9979582255288751
22,5795.314745846573,0.9972639174442203
23,5795.350966676924,0.9969731968595926
24,5795.387187733656,0.9977373236346331
25,5795.423409016771,0.9939067387414893
26,5795.459630526269,0.9944810698810006
27,5795.495852262153,0.9957191314363155
28,5795.532074224422,0.9960966626372364
29,5795.56829641308,0.9968323628956693
30,5795.604518828128,0.9946846849312393
31,5795.640741469566,0.9957046371677784
32,5795.6769643373955,0.9911415222075302
33,5795.71318743162,0.9929431176725235
34,5795.749410752239,0.9962143855816409
35,5795.7856342992545,0.9980954423569045
36,5795.821858072668,0.9995974951103007
37,5795.85808207248,0.9964967867769766
38,5795.894306298694,0.9975600146388958
39,5795.930530751309,0.9971936121029376
40,5795.966755430328,0.9963030556496894
41,5796.002980335752,0.9973992323851825
42,5796.039205467582,0.9951437052258686
43,5796.07543082582,0.9974016521479566
44,5796.111656410468,0.9949124402749177
45,5796.147882221526,0.9935607506215468
46,5796.184108258995,0.9931028675234974
47,5796.220334522879,0.9890522245689272
48,5796.256561013177,0.9882783123390442
49,5796.292787729892,0.9822936681659115
50,5796.329014673023,0.9755765950894935
51,5796.3652418425745,0.9682887502158459
52,5796.401469238546,0.9569035210721545
53,5796.4376968609395,0.9451813560436599
54,5796.473924709758,0.9246481220672957
55,5796.510152784999,0.9000464086158629
56,5796.546381086667,0.8686094692862905
57,5796.582609614763,0.8363481831446324
58,5796.618838369287,0.809485700807225
59,5796.6550673502425,0.7823695006169552
60,5796.691296557629,0.7657842285438929
61,5796.7275259914495,0.765114056722377
62,5796.763755651704,0.7688807417166424
63,5796.799985538395,0.7736545706710959
64,5796.836215651523,0.7874569716650152
65,5796.872445991091,0.7931835765503668
66,5796.908676557098,0.7866484962043795
67,5796.944907349547,0.7841049080062065
68,5796.98113836844,0.7992086476561127
69,5797.017369613777,0.8130244737735232
70,5797.05360108556,0.8345738512312696
71,5797.08983278379,0.8521555572381786
72,5797.12606470847,0.8639140883177641
73,5797.162296859599,0.8809890053775951
74,5797.198529237181,0.8960984143364557
75,5797.234761841215,0.9015042002292647
76,5797.270994671704,0.9017829654069613
77,5797.307227728648,0.9063178440269335
78,5797.34346101205,0.91858797417494
79,5797.379694521911,0.9269984329260469
80,5797.415928258232,0.9340939235065497
81,5797.452162221014,0.9402442770335682
82,5797.48839641026,0.9460329820783355
83,5797.524630825969,0.9522687672898155
84,5797.5608654681455,0.954621885709916
85,5797.597100336788,0.9541424321474319
86,5797.6333354318995,0.9562932348892403
87,5797.66957075348,0.960644088712157
88,5797.705806301534,0.9676036762447274
89,5797.742042076059,0.9703629851950296
90,5797.77827807706,0.9719000965670181
91,5797.814514304535,0.9754157834098628
92,5797.850750758489,0.9732583952116209
93,5797.88698743892,0.9796922661922722
94,5797.923224345832,0.982493427426234
95,5797.959461479224,0.9822183443191108
96,5797.9956988391,0.9858133875012154
97,5798.03193642546,0.9847783591238779
98,5798.068174238306,0.9849387151170217
99,5798.1044122776375,0.980806420571896
100,5798.140650543459,0.9819968919974597
101,5798.17688903577,0.9857568467883875
102,5798.213127754571,0.9859359737589742
103,5798.249366699866,0.9873551054649445
104,5798.285605871655,0.9895690671749867
105,5798.32184526994,0.9912009073002492
106,5798.358084894721,0.9927921225437237
107,5798.394324746001,0.990154919634597
108,5798.4305648237805,0.9911496005048455
109,5798.466805128061,0.9944773217752918
110,5798.503045658845,0.9948443272208529
111,5798.539286416132,0.9972454530915204
112,5798.575527399925,0.9949287914123996
113,5798.611768610224,0.9974522826495423
114,5798.648010047033,0.9980143123384749
115,5798.6842517103505,0.9963760238182534
116,5798.720493600179,0.9964868862616504
117,5798.756735716521,0.9940542142777522
118,5798.792978059375,0.9954912121859704
119,5798.829220628746,0.9971119103140077
120,5798.865463424633,0.9955860917987321
121,5798.901706447039,0.9942166456399479
122,5798.937949695964,0.9941402244021352
123,5798.97419317141,0.9952155830572943
124,5799.010436873378,0.9971153270845451
125,5799.046680801871,0.9961447264186017
126,5799.082924956889,0.9973643513982652
127,5799.119169338433,0.9976229694337496
128,5799.155413946505,0.9931490508647896
129,5799.191658781107,0.9958705655116195
130,5799.22790384224,0.994555074588904
131,5799.2641491299055,0.9941334047908756
132,5799.300394644104,0.992858611001375
133,5799.336640384839,0.9924723685237323
134,5799.372886352109,0.9953807527781525
