result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.00246581502882683,-0.06222174265081981,-0.3861092028235211,94.32400170332718,0.20587283014511798,0.058082983143793454,3.704553421094757,0.14818213684379028,236,9.59956133221293e-05,0.004024119829439846,0.019021439203449595,7.863866082510517,0.007954346743132057,0.004481500112999651
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.0024658733129829117,-0.06222891178746559,-0.3861101388270527,94.31590204616403,0.20586853147219875,0.05807990165367993,3.70455740559783,0.14818229622391318,155,9.600381831435555e-05,0.004023462512455943,0.019019103114509005,7.862975575104238,0.0079538520971288,0.004480745858362632
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.017711565903127224,-0.3232548852412348,-0.5511147701631004,499.99864571742563,0.2999889119084133,0.9719991897869167,540.8998442175373,21.635993768701493,129,0.018897534834663214,0.24858002497618592,1.4763403748535207,781.5808523676646,0.08684553758334536,1.7505123728313965
