result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.0022434187088497485,-0.03628548327780878,-0.43657932885560446,99.73436219914895,0.22955961591065405,0.0033226022921186704,13.061094109157256,0.5224437643662903,157,0.00038274041213664205,0.011641828949398622,0.1046405928789767,43.35285282316991,0.03135372121510472,0.012212055758746664
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.0022627115365758204,-0.03607787916137961,-0.43150258864036983,97.63521296069362,0.2279934108156284,0.002912964466569523,13.056239668389718,0.5222495867355887,173,0.0003669368309280456,0.01105823979135455,0.09686503728537331,38.89729233037848,0.030109157962717834,0.011425452207410765
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0470837476092743,-0.4041236570705158,-0.8174189175929478,347.07019850175146,0.2959357839801232,0.8728040732226958,597.0677236537043,23.882708946148174,99,1.314998701419634,4.858030139929209,12.728291066281217,7712.37858546633,0.99673113724056,14.48948785127225
