result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.010349679450757352,-0.2988507612933595,-0.4431201884850863,17.577843837325467,0.2021724520954737,-0.038828894284700044,10.294236724435693,0.4117694689774277,251,0.003352396743347144,0.0269353163434406,0.054204581792613095,5.022335671007789,0.013600650878940652,0.019440694899935638
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.002999131943855856,-0.08941337571210672,-0.43500216533503855,60.345100657252694,0.19768715097982043,-0.023401776851476153,8.272458465167116,0.3308983386066846,140,0.0006697120636243737,0.024211138916071195,0.04779371744695047,14.137436895706792,0.014792899855621282,0.012203775319043922
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.04999928621627679,-0.35757415819981375,-0.15431452493624642,71.44944898680905,0.05038259711879696,0.04989387431777392,68.03775710149874,2.7215102840599497,130,0.05169023872072712,0.0102746596471676,0.03927812580353908,25.506142758761687,0.08582987294864848,0.0414916998034337
