# CSV-File created with merge-csv.com
# -----------------------------------------------------------

result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.007017755215674442,-0.049918526088593485,-0.29885820735022617,33.304761583965224,0.16767868428070662,0.020344656352887514,68.66316720512094,0.730459225586393,139,0.0019400178974404959,0.011219298180639097,0.008614559321621057,9.090639045393326,0.004251081414720015,0.0052734606873265375
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.0042020656842453,-0.035689605689095405,-0.30312592590353116,55.14194159274524,0.1675768487486255,0.025206242783315513,67.29992554923876,0.7159566547791358,136,0.0018956969936882683,0.014555651817653907,0.007945257670314319,24.654960007476717,0.004533223251891293,0.0049140072738080584
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.003706673657450205,-0.21781399898105214,-0.11189459737790186,499.9999856203761,0.2998767379678094,0.5999805572624406,999.7457880453749,10.635593489844414,128,0.00040309357580843293,0.07090594896688503,0.15329852503090974,626.289490792981,0.07375175278570592,0.10287318991016436
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.0022558940065210923,-0.030834471738129143,-0.4153432917376919,126.45156056930382,0.2092667444988937,-0.011515262611287436,247.44016016389128,2.632342129403099,212,0.00019438388339076813,0.0064195851786825586,0.05119793463701262,37.911053687476546,0.018509559650477684,0.007306637826104928
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.0022130677617779528,-0.03139129057928869,-0.4253528805433169,136.1121128183942,0.21305944878198552,-0.010619506226852926,247.38167627743096,2.6317199603982018,170,0.00021584421906220187,0.007108687396764449,0.05966403077411124,53.15132238162196,0.02062901545149374,0.008244902684322862
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0066222099593172285,-0.002316916417791637,0.6806661479281813,499.4936454848747,0.0671443985541826,0.7260868875599849,14298.55785261098,152.11231758096787,20,0.00161115382795639,0.016465548345528214,0.07006738890983494,305.8461446243515,0.05096521557076881,0.044585847398391686
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.002533907261617186,-6.019433912163308e-05,-0.33862554196337424,103.62757780642447,0.18734746351341114,-0.09124758128754118,265.65791344447666,2.826148015366773,1283,0.00017118603493246462,0.006760592116964619,0.026001906449784236,16.493937112597845,0.014748618640373821,0.006486609898187222
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.002034984779819491,-2.1105339698124226e-13,-0.41273428844946913,499.9999992683065,0.2320230611905007,-0.09062997888100488,240.9645838059889,2.563453019212648,10808,,,,,,
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0020875499396121743,-0.0007474906835883699,-0.4116716850634361,277.2387206212501,0.23060401636204286,-0.0925477007278207,255.7133532922309,2.7203548222577756,129,0.0004882567129637589,0.009407530417314453,0.059037335702763885,894.6631761477038,0.043086839855518186,0.010696584343788257
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.01,-0.09999999999999998,-0.31200000000000006,10.00000000000001,0.18,0.014000000000000012,20891.931801886665,222.25459363709217,15,9.159799544691603e-14,0.3271300118847583,0.15932295728150567,1.5732154729657573,0.05507683376603487,0.030464662148736832
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.0052499999999999995,-0.5,-0.5042926095863682,475.58943662986616,0.2519268164967602,-0.06672368378594595,83207.43094273345,885.1854355609942,14000,,,,,,
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0026076272014062788,-0.7643039765226585,-0.9997841576640185,485.4197810138825,0.2999999745282235,0.900791187814487,5958.661591920623,63.39001693532578,171,0.0005186196431593856,0.16798937828465715,1.4553165429181978,1867.0539731055514,0.12885073520880064,0.6278360231561989
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.009875579700266772,-0.14507547493043882,-0.27621548487397596,23.088693126501454,0.15924538605830546,0.05732586120555161,109.9089570595169,1.1692442240374137,438,0.0019425119889087716,0.019225211256793558,0.01167949709057371,4.307506737434427,0.005429883033253542,0.005890281522118428
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.0028076394239555102,-0.05035770623398994,-0.2873036419898043,82.15234932286901,0.16462844213299885,0.07094135067393426,86.59971608783825,0.9212735754025345,107,0.00010565190822100202,0.004988477578230802,0.010748332462284226,4.6616498673206195,0.006420764930004887,0.004353265396722055
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.009786295151349702,-0.9093140477824966,0.9999999999994076,104.48428410132695,0.29999999999999255,0.5994029669008736,2141.748811266231,22.78456182198118,1481,,,,,,
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.009111626575582503,-0.2352458554026995,-0.2896120101364946,22.490394584262177,0.17116369268845505,0.07450181159517744,347.81289470775414,3.7001371777420653,174,0.0009726242177063521,0.015989817904792872,0.012194363036966333,2.1606238644182865,0.005267053825907322,0.005095312804419796
