result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.01,-0.09999999999999998,-0.31200000000000006,10.00000000000001,0.18,0.014000000000000012,20891.931801886665,222.25459363709217,15,9.159799544691603e-14,0.3271300118847583,0.15932295728150567,1.5732154729657573,0.05507683376603487,0.030464662148736832
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.0052499999999999995,-0.5,-0.5042926095863682,475.58943662986616,0.2519268164967602,-0.06672368378594595,83207.43094273345,885.1854355609942,14000,,,,,,
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0026076272014062788,-0.7643039765226585,-0.9997841576640185,485.4197810138825,0.2999999745282235,0.900791187814487,5958.661591920623,63.39001693532578,171,0.0005186196431593856,0.16798937828465715,1.4553165429181978,1867.0539731055514,0.12885073520880064,0.6278360231561989
