result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.001,-0.1,-0.312,100,0.18,0.014,0.0018174525491270088,-5.117082765293546e-06,-0.3130093405745896,109.66726322138712,0.17078922526675555,-0.07423860681932759,19.06933824663746,0.5959168202074206,220,0.0034399868401821187,0.021356656269284444,0.040084649011128785,208.28291621829268,0.019076278913250404,0.025197216854846393
result2,0.002,-0.1,-0.312,90,0.18,0.014,0.0038621534458512558,-1.6130923041757228e-07,-0.3093707770308247,51.834859304337606,0.17057297939999927,-0.07684352662812355,19.945148862005258,0.6232859019376643,163,0.00368461034064085,0.017702330743423752,0.045074284592713135,49.55474669849007,0.020654958259726137,0.015614980524220475
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0031740625659967127,-0.05624953881580019,0.9122452111973107,496.9969179205329,0.14876496802463757,-0.12843185109674926,82.86218808126111,2.5894433775394097,102,0.0024342839770253436,0.056621449579826046,0.03960582598111123,370.5661040787417,0.058492016590755175,0.07068140490817641
result4,0.005,-0.1,-0.312,60,0.18,0.014,0.006792287027554789,-0.0690981513926684,-0.32065006663752216,29.701250477608298,0.1781309202238514,-0.07129636624135238,23.738012577648696,0.7418128930515218,181,0.003591580750623528,0.006051171842280561,0.04752729561815532,15.647364749785378,0.02065185525114592,0.022224765525125447
result5,0.009,-0.1,-0.312,40,0.18,0.014,0.006628141164976833,-0.1018320872784606,-0.3365641487465283,30.195295494412843,0.18451962363695418,-0.06524888852581845,25.589950345980448,0.799685948311889,153,0.004089207205624192,0.01059266262072914,0.07524205549630268,17.41454085515547,0.022916427325312457,0.023882745900262545
