result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.001,-0.1,-0.312,100,0.18,0.014,0.0007412320072547878,-0.03144354653536574,-0.30718519456260274,320.6602007843691,0.2006109788106158,0.13386891875662088,28.88035946697042,0.9025112333428256,190,6.0872649980302846e-05,0.003161984860176733,0.026517525485007444,67.85302335497407,0.016578087760573307,0.012497660213861152
result2,0.002,-0.1,-0.312,90,0.18,0.014,0.0015797981826556552,-0.07159528488790334,-0.29213326409781115,122.16734655330667,0.1783625299651403,0.11804400933947923,72.5209490630465,2.266279658220203,144,0.0007405078562272771,0.030551392366099033,0.030884121415442504,57.89991296328227,0.013843922414705771,0.010026715106578323
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.003033688053578352,-0.028799595415231583,0.251320661552652,483.9638580040017,0.22631929068056789,-0.9063367902713229,1122.7758592457453,35.08674560142954,84,0.0012581761219376505,0.0711784404673446,0.5250704361585312,189.656590770724,0.7342987515149244,0.7561871378820659
result4,0.005,-0.1,-0.312,60,0.18,0.014,0.0007413678695343952,-0.03146937573151831,-0.30733234260039666,320.39722474802335,0.20063436393313966,0.13387505279454515,28.880432965617505,0.902513530175547,162,6.103320693743708e-05,0.0031621323738134934,0.02655664945520887,67.81902591575698,0.016595404720601475,0.012534901722679037
result5,0.009,-0.1,-0.312,40,0.18,0.014,0.0024360702653120443,-0.10640196545546132,-0.28685800004633255,79.60473136346864,0.17673015739243486,0.11498107418544667,73.49189500391162,2.296621718872238,310,0.0006256413601491843,0.022456243625095705,0.029882624735608182,19.78308358383417,0.012854921782255738,0.009841234669893796
