result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.011690211689719088,-0.06803359689872046,-0.291645368383191,20.299357372353956,0.16795329397870562,0.013853446657700719,74.0679059630542,0.7879564464154702,279,0.002510608127065844,0.01381581951916041,0.010070340420317687,4.124892358307769,0.004320688564501955,0.005578321695477381
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.002370792179933484,-0.02854661459413388,-0.3435811282793736,121.5397921440211,0.19982658507790035,0.03426510528664006,39.421311618446005,0.41937565551538303,154,0.00011185117946160099,0.0036829398243379513,0.017866726100559175,20.10231767571024,0.010613807118763786,0.0043422454056786
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.04999027095512491,-0.7390284140863119,0.8432769071443373,72.47374593699776,0.2997892404557421,0.9826227538419254,3515.9830618423166,37.40407512598209,90,0.030184844209952797,0.03274689724803169,0.12713479539436806,37.75173687331566,0.2287817421523556,0.17546312565137004
