result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.01,-0.1,-0.312,10,0.18,0.014,0.005043491699464211,-0.05248904978353597,-0.3183488981303988,45.63600421246537,0.17627132996461986,0.028861533062770617,72.11979631202679,0.7672318756598595,760,,,,,,
result2,0.005,-0.1,-0.312,90,0.18,0.014,0.00424711290265782,-0.035605703847255255,-0.303258308741327,54.564955298872526,0.16769237467162068,0.025013181226462455,67.29114130111812,0.7158632053310438,697,,,,,,
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0027195670203907954,-0.023800390846521857,-0.2864867678338816,88.97172944281338,0.16337897956149436,0.026378693222882,53.36798006158614,0.5677444687402781,791,,,,,,
