           a           b  c  d   e      J  g  h   position            i                     strength         f   z  label  m   n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  21  7  1 Ground  21  1  1  1499.84077244        -               0.35822958977119    0.0000 : rQ0(21) : Excited v=1 21  1     A2u - Ground v=0 21  0 A2g
SymmetricTop Excited  22  6  1 Ground  22  0  1  1499.82612044        -               0.263825272471426   0.0000 : rQ0(22) : Excited v=1 22  1     A1u - Ground v=0 22  0 A1g
SymmetricTop Excited  23  7  1 Ground  23  1  1  1499.81080244        -               0.190843227167864   0.0000 : rQ0(23) : Excited v=1 23  1     A2u - Ground v=0 23  0 A2g
SymmetricTop Excited  21 10  1 Ground  21  4  1  1499.851702          -               0.179831100688921   0.0000 : pQ1(21) : Excited v=1 21  0    E1u - Ground v=0 21  1 E1g
SymmetricTop Excited  22 10  1 Ground  22  4  1  1499.83705           -               0.132440173823705   0.0000 : pQ1(22) : Excited v=1 22  0    E1u - Ground v=0 22  1 E1g
SymmetricTop Excited  23 10  1 Ground  23  4  1  1499.821732          -               0.0958032183286244  0.0000 : pQ1(23) : Excited v=1 23  0    E1u - Ground v=0 23  1 E1g
SymmetricTop Excited  24 10  1 Ground  24  4  1  1499.805748          -               0.068079673470912   0.0000 : pQ1(24) : Excited v=1 24  0    E1u - Ground v=0 24  1 E1g
SymmetricTop Excited   4  7  1 Ground   5  1  1  1499.87695844        -               1.04930248459607    0.0000 : rP0(5) : Excited v=1  4  1     A2u - Ground v=0  5  0 A2g
SymmetricTop Excited  17  7  1 Ground  17  1  1  1499.89272044        -               1.01334849906003    0.0000 : rQ0(17) : Excited v=1 17  1     A2u - Ground v=0 17  0 A2g
SymmetricTop Excited   5 10  1 Ground   6  4  1  1499.862358          -               0.837581126115645   0.0000 : pP1(6) : Excited v=1  5  0    E1u - Ground v=0  6  1 E1g
SymmetricTop Excited  18  6  1 Ground  18  0  1  1499.88073244        -               0.803612837385179   0.0000 : rQ0(18) : Excited v=1 18  1     A1u - Ground v=0 18  0 A1g
SymmetricTop Excited   4 10  1 Ground   5  4  1  1499.887888          -               0.790124097011593   0.0000 : pP1(5) : Excited v=1  4  0    E1u - Ground v=0  5  1 E1g
SymmetricTop Excited  19  7  1 Ground  19  1  1  1499.86807844        -               0.625357319280622   0.0000 : rQ0(19) : Excited v=1 19  1     A2u - Ground v=0 19  0 A2g
SymmetricTop Excited  18 10  1 Ground  18  4  1  1499.891662          -               0.403413300300036   0.0000 : pQ1(18) : Excited v=1 18  0    E1u - Ground v=0 18  1 E1g
