          a            b  c  d   e      J  g  h   position            i                     strength         f      z       label       m       n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  18  8  1 Ground  19  2  1  1499.42814104        -               0.104976323066248   0.0000    :     rP3B1g(19)    :     Excited v=1 18  4     B1u - Ground v=0 19  3 B1g
SymmetricTop Excited  20 11  2 Ground  21  5  1  1499.43427396        -               0.126861090006568   0.0000    :     pP4(21)    :     Excited v=1 20  3     E2u - Ground v=0 21  4 E2g
SymmetricTop Excited  19 10  3 Ground  20  4  2  1499.435008          -               0.122819942911233   0.0000    :     pP1(20)    :     Excited v=1 19  0    E1u - Ground v=0 20  1 E1g
SymmetricTop Excited  18 11  3 Ground  19  5  2  1499.43807196        -               0.116622489325371   0.0000    :     rP2(19)    :     Excited v=1 18  3     E2u - Ground v=0 19  2 E2g
SymmetricTop Excited  20 10  1 Ground  21  4  1  1499.44653504        -               0.142459241104556   0.0000    :     pP5(21)    :     Excited v=1 20  4     E1u - Ground v=0 21  5 E1g
SymmetricTop Excited  19 11  4 Ground  20  5  2  1499.44627044        -               0.13672930414267    0.0000    :     pP2(20)    :     Excited v=1 19  1     E2u - Ground v=0 20  2 E2g
SymmetricTop Excited  18 10  2 Ground  19  4  2  1499.44833576        -               0.129638740349146   0.0000    :     rP1(19)    :     Excited v=1 18  2     E1u - Ground v=0 19  1 E1g
SymmetricTop Excited  17 11  1 Ground  18  5  1  1499.452731          -               0.117043555845639   0.0000    :     rP4(18)    :     Excited v=1 17  5     E2u - Ground v=0 18  4 E2g
SymmetricTop Excited  18  7  2 Ground  19  1  1  1499.45893244        -               0.288626455052595   0.0000    :     rP0(19)    :     Excited v=1 18  1     A2u - Ground v=0 19  0 A2g
SymmetricTop Excited  19  8  2 Ground  20  2  1  1499.45786576        -               0.152769570220886   0.0000    :     pP3B1g(20)    :     Excited v=1 19  2     B1u - Ground v=0 20  3 B1g
SymmetricTop Excited  19  9  2 Ground  20  3  1  1499.45786576        -               0.152769570220886   0.0000    :     pP3B2g(20)    :     Excited v=1 19  2     B2u - Ground v=0 20  3 B2g
