,Wavelength,Flux
0,6376.773756535977,1.0016425999854734
1,6376.813611496502,1.001137638144922
2,6376.85346670612,1.0004369540778488
3,6376.893322164837,1.00102817071417
4,6376.933177872646,0.9994168237405836
5,6376.973033829559,1.0010730066407936
6,6377.01289003557,1.0018523509116153
7,6377.0527464906845,0.9990412859116129
8,6377.092603194901,0.9982083024412535
9,6377.132460148225,0.99949314214499
10,6377.172317350653,0.9988506130601177
11,6377.212174802193,0.9993943436427528
12,6377.252032502838,0.9997247988051043
13,6377.291890452598,0.9994645519346709
14,6377.33174865147,0.9996109404111199
15,6377.371607099456,1.0000090650151252
16,6377.4114657965565,0.9987519328213224
17,6377.4513247427785,0.9981167105061208
18,6377.4911839381175,0.9984061475117821
19,6377.531043382577,0.9990949491004417
20,6377.57090307616,0.9997810323235882
21,6377.610763018864,0.9989280113623634
22,6377.6506232106985,0.9996146842599976
23,6377.690483651657,1.001529414570808
24,6377.730344341742,1.0013407057751176
25,6377.770205280961,1.0003578398874395
26,6377.8100664693075,1.0004300897443947
27,6377.849927906791,1.0011470571513614
28,6377.889789593408,1.0009078948969996
29,6377.929651529162,1.0009002355811405
30,6377.969513714052,1.0002437483935633
31,6378.009376148081,1.0011481195791336
32,6378.049238831252,1.0001923013693086
33,6378.089101763567,1.0005349565132868
34,6378.1289649450255,1.000989468884293
35,6378.16882837563,1.0003759195017197
36,6378.208692055379,1.0006356837983
37,6378.24855598428,1.0013953663412727
38,6378.288420162329,1.0004761822952617
39,6378.328284589533,1.0003874021917787
40,6378.368149265887,1.0022983953383309
41,6378.408014191397,1.0020431676463848
42,6378.447879366065,1.0015650279576978
43,6378.48774478989,1.0008794385187703
44,6378.527610462875,1.0005352746999299
45,6378.567476385021,0.9999473931410184
46,6378.607342556329,1.0010913485654693
47,6378.647208976803,1.0007571913739655
48,6378.687075646441,1.000164683584337
49,6378.726942565249,1.000362687035868
50,6378.766809733223,1.0004770384194777
51,6378.80667715037,0.9995590680274888
52,6378.846544816688,0.9980443781746692
53,6378.88641273218,0.9979142455058877
54,6378.926280896847,0.997770218729522
55,6378.966149310692,0.9961563107693064
56,6379.006017973715,0.9932370066127076
57,6379.045886885916,0.9907202864251049
58,6379.085756047301,0.9878641358708846
59,6379.1256254578675,0.9847167142384881
60,6379.165495117619,0.9780169490310998
61,6379.205365026556,0.9738347977069797
62,6379.245235184681,0.9670092567964382
63,6379.2851055919955,0.9582608903283746
64,6379.324976248502,0.9497439527306548
65,6379.364847154198,0.9429174083696547
66,6379.404718309091,0.9402150992617562
67,6379.444589713177,0.9382796763711677
68,6379.484461366463,0.9390195752928658
69,6379.524333268945,0.9403950371868165
70,6379.564205420627,0.9362503488573576
71,6379.604077821513,0.9346720308103441
72,6379.6439504716,0.9361114776658481
73,6379.683823370893,0.9402509690622953
74,6379.723696519392,0.950506031988595
75,6379.7635699171,0.9613180376340653
76,6379.803443564017,0.9729847269175601
77,6379.843317460145,0.9809167648971701
78,6379.883191605484,0.9883876321268542
79,6379.923066000039,0.9925779393503354
80,6379.962940643811,0.9954611536617255
81,6380.002815536798,0.99726689999701
82,6380.0426906790035,0.9979889116217532
83,6380.0825660704295,0.9981387945660368
84,6380.122441711082,1.00057388655695
85,6380.162317600953,1.0004619349228363
86,6380.2021937400505,0.9999565146500994
87,6380.242070128374,1.0014421420067352
88,6380.2819467659265,1.00067238922286
89,6380.321823652709,0.9996570090471346
90,6380.361700788722,0.9992085159590751
91,6380.401578173968,1.0011206978319354
92,6380.441455808448,1.0003750635587882
93,6380.481333692165,0.999902700753131
94,6380.521211825121,0.9982637941971483
95,6380.561090207314,0.9992489854134274
96,6380.6009688387485,1.0008778468784434
97,6380.640847719425,0.9997188793075604
98,6380.680726849345,0.9999703559702711
99,6380.72060622851,0.9997772906877237
100,6380.760485856923,1.0004512775977095
101,6380.8003657345835,1.0003773105808258
102,6380.8402458614955,1.001503847122873
103,6380.880126237656,1.0001106861729798
104,6380.920006863073,1.0006507059773715
105,6380.959887737742,1.000237629163506
106,6380.9997688616695,1.0013730025984626
107,6381.039650234853,0.9998449267443009
108,6381.079531857296,1.0006801480660916
109,6381.119413729001,1.0002324346659761
110,6381.15929584997,1.0002968541005357
111,6381.1991782202,0.9999487200606836
112,6381.239060839696,0.999106939864746
113,6381.27894370846,0.9977431833741128
114,6381.318826826492,0.9979862587714998
115,6381.3587101937965,1.0000272543284507
116,6381.3985938103715,0.9999701359153464
117,6381.438477676218,0.9996942839284596
118,6381.478361791342,1.0000158960872574
119,6381.518246155741,1.0003292544791857
120,6381.558130769417,0.999673468443795
121,6381.598015632376,1.0013622485432154
122,6381.637900744614,0.9995818717776201
123,6381.6777861061355,0.9994292654387363
124,6381.717671716941,0.9993585760547355
125,6381.7575575770325,0.9991500474252252
126,6381.797443686409,0.9995995571893825
127,6381.837330045077,0.9997906742445446
128,6381.877216653034,1.0003289358208391
129,6381.9171035102845,1.001239301640422
130,6381.95699061683,1.0006134693065836
131,6381.996877972669,1.0008008803099853
