result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.001,-0.1,-0.312,100,0.18,0.014,0.0005938014587938467,-0.016327390454231816,-0.512251625303044,499.9995300716566,0.24357323787948698,0.016231997231573425,31.96091464771438,0.9987785827410743,207,0.0001407337696171344,0.007279569065548019,0.2427082433753804,558.5866349478383,0.04435851020378246,0.024464602663720872
result2,0.002,-0.1,-0.312,90,0.18,0.014,0.002625280992055453,-0.07655865997491107,-0.34733055057944806,66.52326952535168,0.185094334240833,-2.5394938260592248e-05,88.37783081272231,2.761807212897572,90,0.0011366220393463477,0.02469700573113254,0.042775871210981496,28.33920301786671,0.016382827027643154,0.013961174080297104
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.00857523236014016,-0.14424776105856263,0.8774736086118549,72.96758588762503,0.299998513314044,0.011241954260714726,760.3447658634926,23.760773933234145,200,0.01436209044150007,0.035816084330471044,0.10449725973274245,138.95080658935802,0.19098735204741527,0.10461497832334259
result4,0.005,-0.1,-0.312,60,0.18,0.014,0.0030992411924834398,-0.09541309959818411,-0.35342360584911514,56.21434548147047,0.18743573727556523,0.0003515472316630852,89.71411295241691,2.8035660297630285,113,0.0008508756023918773,0.01219560345349172,0.04703872450655429,14.158074070964974,0.015741085722460954,0.013772775295650653
result5,0.009,-0.1,-0.312,40,0.18,0.014,0.004097553228947912,-0.10904504493087686,-0.33817508780832595,42.90940001298947,0.18276045751651065,-0.004635836918876257,90.71940358907626,2.8349813621586333,280,0.0012871981068829914,0.0077081343826479335,0.04385199048692893,13.089205670780034,0.01693453633360794,0.014221733301478426
