result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.001,-0.1,-0.312,100,0.18,0.014,0.002974980719083942,-0.09646038750743624,-0.2900328207833447,63.61551994273934,0.19668079461933458,0.06329718572697418,30.65557376297337,0.9579866800929178,232,0.0002661338375581704,0.005930777682429366,0.011778292871643807,5.361649968757096,0.005557632209433575,0.003632171500019369
result2,0.002,-0.1,-0.312,90,0.18,0.014,0.0030304759295827566,-0.09822995565667103,-0.2896734060662993,62.48919230867818,0.19651544151206884,0.06314413200843116,30.682657708539896,0.9588330533918717,123,0.000275758989430631,0.0050840926502494785,0.012710469982942015,5.231188314628039,0.005208232730095233,0.003913683983092134
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.010454324637769978,-0.23179248716183332,-0.548723273769991,499.48339917914365,0.2999954665183394,0.8690124565095991,1448.4574989257933,45.26429684143104,326,0.0037266698962246745,0.03439059891866457,0.3032210785239286,217.3281482054398,0.14016956259627117,0.29612831009870333
result4,0.005,-0.1,-0.312,60,0.18,0.014,0.0030604049034978005,-0.10218254485388134,-0.2930127487525951,61.77755383207649,0.19805685673245987,0.0638005466127951,30.899326531254832,0.9656039541017135,119,0.0002856252327860703,0.0057501237858651015,0.012560253343867121,5.361995939201809,0.005321528516131607,0.00375432208470964
result5,0.009,-0.1,-0.312,40,0.18,0.014,0.0033018371582889013,-0.10795124529116373,-0.29091388205687163,57.33699559832133,0.19716369872593636,0.06290335147062542,30.998134394422543,0.9686916998257045,157,0.0003099698056148514,0.0038156255168297344,0.012295947633357132,5.330102908783192,0.005905373976776051,0.004119768567483866
