result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.001,-0.1,-0.312,100,0.18,0.014,0.002444105723615198,-0.08023180784513095,-0.29672103378972725,77.95565371642587,0.17637567077721922,0.009885774616130716,291.1655792305605,9.098924350955016,179,0.00040027481767980727,0.01260620058212122,0.01723258241534899,12.01546903352979,0.007920712302215815,0.005951332628142447
result2,0.002,-0.1,-0.312,90,0.18,0.014,0.0028037958548944157,-0.09013419123492661,-0.2957432325079392,67.99495304462677,0.17608807523379716,0.00875136937746035,291.9700956128557,9.12406548790174,108,0.00033983279255358275,0.00546760556876927,0.01737401569156096,8.310215310198924,0.007833607908028027,0.0058839855673935
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.007612320915297744,-0.004994316051316838,0.8902149945653899,87.49294521455738,0.29999999970290225,-0.006330301071425959,11548.255009547782,360.8829690483682,94,0.1479087628584566,0.029195541969663966,0.17210346446009928,1663.3198635700692,0.19016375421176276,0.10758299841591201
result4,0.005,-0.1,-0.312,60,0.18,0.014,0.003287445963972184,-0.10273666250270841,-0.2915327010454005,58.205823996252235,0.17460117080416493,0.007116817583262103,294.45152395248664,9.201610123515207,109,0.0004466183599529714,0.007984682444877492,0.016184766237590898,7.6637380027281345,0.007482365225457188,0.005892944808651077
result5,0.009,-0.1,-0.312,40,0.18,0.014,0.0035831796536498614,-0.11065421904271888,-0.2908678898773118,53.44161830749218,0.1744725045685574,0.006241720707901077,295.7021978479366,9.240693682748018,132,0.00046022580460661504,0.004064663736812521,0.018102651810658985,6.624637665802109,0.007360625355816294,0.00631742877085163
