result_name,B_init,delta_B_init,zeta_init,T1_init,sigma1_init,origin1_init,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
result1,0.001,-0.1,-0.312,100,0.18,0.014,0.015222917406269095,-0.47765786682554423,-0.2982782075080481,13.250391593122032,0.18689219532030138,-0.049104196920155774,153.2778663758445,4.7899333242451405,168,0.0012745474951578993,0.005873272130751171,0.027209938027290687,1.1289516470602798,0.011065124374167276,0.01199286469235212
result2,0.002,-0.1,-0.312,90,0.18,0.014,0.0029208350792339624,-0.0613780107788805,-0.27220874864446776,67.90950492572597,0.1693410447252174,-0.035296995880773396,77.60006650494877,2.425002078279649,98,0.0009271604502209867,0.015294338592500406,0.02193659845308971,21.674043741402258,0.009795418508897187,0.008642388210563687
result3,0.0005,-0.1,-0.312,180,0.18,0.014,0.0010378664921727268,-0.3284530319828477,0.9405202979747811,490.0087675695452,0.29999999999614474,0.7583441848554393,1019.1351288838401,31.847972777620004,1056,,,,,,
result4,0.005,-0.1,-0.312,60,0.18,0.014,0.006021236523330616,-0.09023381399943997,-0.2590891710690896,33.20251388665182,0.16568118636561607,-0.04551893492511738,89.56125862625883,2.7987893320705886,190,0.0012016390209499987,0.0016080328818283416,0.02000225447964937,6.56203335847469,0.009493126403753483,0.008396761536978247
result5,0.009,-0.1,-0.312,40,0.18,0.014,0.0044835934977026076,-0.09999751263683143,-0.27376128614485873,44.39915692566627,0.1713839921384428,-0.036872285963100326,82.85705854842854,2.589283079638392,125,0.0008384585002496948,0.004080518602338531,0.021852514385351508,8.15409617941624,0.010076498338224155,0.008903300937911232
