result_name,B_init,T_init,delta_B_init,zeta_init,origin_init,B,T,delta_B,zeta,origin,chi2,redchi,func_evals,B_unc,T_unc,delta_B_unc,zeta_unc,origin_unc
result1,0.01,2.7,-0.1,-0.1,0,0.009999882360057484,86.28273817366707,-0.061429232784083965,0.11973473899845488,0.7675468878037175,1359.841709135287,14.314123254055652,110,0.012570698914644617,47.77306677007859,0.02285228387977411,0.018809233486375244,0.02077362296880332
result2,0.005,32.7,-0.4,-0.9,0.039,0.00999999999951667,499.9999528218559,-1.2645440250480533e-13,0.99865323234322,0.004407598744391672,1095.0020399636298,11.526337262775051,407,,,,,
result3,0.002,62.5,-0.8,-0.5,0.072,0.0019804778557774,499.99304492790543,-0.9999892364947769,-0.9999999978230979,0.6140689459942004,44180.70656868181,465.06006914401905,92,0.00035949136450310937,680.0808873858317,0.11970395039722245,0.18259453818371602,0.05976392801772431
result4,0.0005,32.0,-0.45,-0.01,0.012,0.009970777911640647,489.08907351385903,-0.024272095926780146,0.9999984173173557,0.03098680002451859,1182.3206299076317,12.445480314817175,37,0.01507695938290703,788.9147362655315,0.020169479476969683,0.002584946399694841,0.025155177730663492
result5,0.0075,92.5,-0.23,-0.23,0.02,0.009998172285323294,498.846374733198,-0.010070665697971326,-0.09566020685675392,0.013415381119586955,1256.675521070531,13.2281633796898,136,0.0030652182347580695,112.48646499186192,0.011615888759236886,0.02901874176171321,0.026757299082711215
